context, response
canceling Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
have problems with the deletion of my gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
cancelling Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
problem with the cancellation of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i want assistance removing my damn Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
where can i get information about an Titanium account deletion,"intent: delete_account, variable name: account_type, variable value: Titanium"
help me delete my Premium accoun,"intent: delete_account, variable name: account category, variable value: Premium"
i dont know how i could delpete the goddamn Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i dont know what to do to cancel a freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
problems with premium account deletions,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I am looking for information about my pro account deletion,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I never use my premium account, can I cancel it?","intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not know what to do to close my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i dont know what i have to do to close my gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I don't need my fucking Premium account, I want to close it","intent: delete_account, variable name: account category, variable value: Premium"
can you help me cancelling the Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
delete Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know how to delete my standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know how I can cancel the standard acconut,"intent: delete_account, variable name: unspecified, variable value: unspecified"
help me cancel the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
cancel Premium acount,"intent: delete_account, variable name: account category, variable value: Premium"
problem with the removal of a freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
cancel Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I never use the pro account, I want to delete it","intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't knwo what I have to do to cancel a premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
close Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
information about the termination of my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know what I have to do to cancel a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I no longer use the standard account, assistance removing it","intent: delete_account, variable name: unspecified, variable value: unspecified"
problem with the termination of my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I no longer need my damn account, how do I delete it?","intent: delete_account, variable name: unspecified, variable value: unspecified"
I have a question about my freemium account termination,"intent: delete_account, variable name: unspecified, variable value: unspecified"
is it possible to remove the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
problem with Premium account cancellations,"intent: delete_account, variable name: account category, variable value: Premium"
i want assistance cancelling an Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i want help to close my Premium accouny,"intent: delete_account, variable name: account category, variable value: Premium"
I don't know what I need to do to remove a standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i want information about a standard account removal,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know what to do to remove the premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do I need to do to close a fucking gold account?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I need assistance removign the gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
cancel Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
removing pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i dont know what i have to do to remove my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i want assistance to close the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I need assistance canceling a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
find informationabout the termination of a freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
deleting standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I don't use my gold account, I want assistance removing it","intent: delete_account, variable name: unspecified, variable value: unspecified"
i dont know what i need to do to delete a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i have a question about the termination of a standard acount,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know what to do to remove the platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
i want assistance deleting the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
problem with a pro account removal,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know how to close my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I want assistance closing the freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i have a question about the deletion of a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i dont use mystandard account i try to delete it,"intent: delete_account, variable name: unspecified, variable value: unspecified"
problems with platinum account deletions,"intent: delete_account, variable name: account type, variable value: platinum account"
"I would like to close my gold account, help me","intent: delete_account, variable name: unspecified, variable value: unspecified"
find information about the deletion of my freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i dont know what i need to do to remove the platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
i do notuse the bloody Titanium account i try to delete it,"intent: delete_account, variable name: account_type, variable value: Titanium"
delete gold acvount,"intent: delete_account, variable name: unspecified, variable value: unspecified"
close Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
where can I find information about a Titanium account removal?,"intent: delete_account, variable name: account_type, variable value: Titanium"
clsoe platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
problem with Titanium account deletions,"intent: delete_account, variable name: account_type, variable value: Titanium"
find information about the cancellation of my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do i need to do to remove the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i dont know what i have to do to delete my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I would like information about my gold account cancellation,"intent: delete_account, variable name: unspecified, variable value: unspecified"
closing  Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
canceling standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do I need to do to remove the Titanium account?,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know what to do to cancel my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I do not know how I can cancel a platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
could uhelp me close a freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i want information about the termination of my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
need assistance to cancel the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know what I have to do to delete a premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know what I need to do to close the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
"I never make use of the gold account, help me deleting it","intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know how I could close my damn freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know what to do to delete a gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
where can I get information about a Titanium account deletion?,"intent: delete_account, variable name: account_type, variable value: Titanium"
I want assistance deleting my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i have a question about the cancellation of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i have a question about the cancellation  of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
couldyou help me to cancel the goddamn Titanium account?,"intent: delete_account, variable name: account_type, variable value: Titanium"
i do not know what i need to do to delete a Premium acclunt,"intent: delete_account, variable name: account category, variable value: Premium"
cold uhelp me deleting my platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
whta do I have to do to close my Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
I don't know how I can close a standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
hwlp me remove the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I do not need the platinum account, I have got to cancel it","intent: delete_account, variable name: account type, variable value: platinum account"
I do not know what I need to do to remove the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
closing Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
have a problem with platinum account deletions,"intent: delete_account, variable name: account type, variable value: platinum account"
cancelling platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
cancelin standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not know what i need to do to remove a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
close Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I would like information about the removal of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
could ya help me cancel the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
remove pro accoint,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not know what i have to do to delete a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i want help  to close the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
how can i find information about my standard account removal,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I want assistance to remove a premium accojnt,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I need assistance deleting a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
where can I find information about Titanium account terminations?,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know what I have to do to cancel a premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
clsoe Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
remove platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
how can I get information about gold account deletions?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
delete platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
closing Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i do not kow how i could delete the goddamn standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do i have to do to remove a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
removing Premium acconut,"intent: delete_account, variable name: account category, variable value: Premium"
I have a problem with the deletion of my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
give me information about the deletion of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
can you help me close a Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
problems with Premium account cancellations,"intent: delete_account, variable name: account category, variable value: Premium"
I want help canceling my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i have a problem with the cancellation of my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
how can I  close my Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
problem with Titanium account cancellations,"intent: delete_account, variable name: account_type, variable value: Titanium"
i dont know what i need to do to remove the freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
problem with Premium acount deletions,"intent: delete_account, variable name: account category, variable value: Premium"
I need assistance removing the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i dont know what i have to do to delete my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
deleting Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
problem with Premium account deletions,"intent: delete_account, variable name: account category, variable value: Premium"
i have problems with the cancellation of a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I don't need my standard account, help cancelling it","intent: delete_account, variable name: unspecified, variable value: unspecified"
cancelling Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i dont know what to do to delete the goddamn standard acount,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I am trying to find information about Titanium account removals,"intent: delete_account, variable name: account_type, variable value: Titanium"
I want assistance to delete a bloody gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do i have to do to close the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
removing Titanium acconut,"intent: delete_account, variable name: account_type, variable value: Titanium"
"I don't need my damn standard account, I have to remove it","intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know how I can remove my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
remove gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
problems with standard account terminations,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I need information about the termination of a pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
problems with the removal of my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I do not need the Premium account, help to delete it","intent: delete_account, variable name: account category, variable value: Premium"
deleting Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
how can I find information about Titanium account deletions?,"intent: delete_account, variable name: account_type, variable value: Titanium"
cancelling standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I ned information about the termination of a gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
how can I get information about platinum account deletions?,"intent: delete_account, variable name: account type, variable value: platinum account"
I do not know what to do to remove a premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
close pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i need assistance removing my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I want informatoin about the cancellation of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
give me information about the deletion of my Freemiumaccount,"intent: delete_account, variable name: unspecified, variable value: unspecified"
removing Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know how I could delete my standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I do not need my damn Premium account, help to close it","intent: delete_account, variable name: account category, variable value: Premium"
removing Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
deleting Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
deleting user,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i want assistance canceling my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I have a question about the deletion of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I need to remove a standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know what I have to do to close the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
is it possible to delete my freemium account?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not know what i need to do to remove my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I need informatoin about Premium account terminations,"intent: delete_account, variable name: account category, variable value: Premium"
i do not know how ican delete my freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
clsoe premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
problems with Titanium account terminations,"intent: delete_account, variable name: account_type, variable value: Titanium"
i have a question about my freemium account termination,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I need information about the cancellation of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
removing freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
help me deleting my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
what do I need to do to cancell a Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
delete Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
what do i have to d to remove the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
canceling pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
closing standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I havea question about the termination of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I need assistance to remove my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
problem with the termination of my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I never make use of my Premium account, help canceling it","intent: delete_account, variable name: account category, variable value: Premium"
problems with Titanium account cancellations,"intent: delete_account, variable name: account_type, variable value: Titanium"
i do not know what i have to do to close the platinum accont,"intent: delete_account, variable name: unspecified, variable value: unspecified"
have a questiin about the removal of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I need information about the removal of a standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not know what i need to do to remove my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
question about the cancellation of a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I have a question about a freemium account cancellation,"intent: delete_account, variable name: unspecified, variable value: unspecified"
delete standard acvount,"intent: delete_account, variable name: unspecified, variable value: unspecified"
wannaclose a pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
closing pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
have problems with the removal of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know how to close my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
problems with gold account deletions,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i want help to cancel the platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
information about the cancellation of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know what to do to delete a freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do I have to do to cancel a premium account?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
find information about the removal of my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I want information about the termination of my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
cancel Titanium acount,"intent: delete_account, variable name: account_type, variable value: Titanium"
i dont know what to do to remove the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
"I don't use the pro account, I am trying to delete it","intent: delete_account, variable name: unspecified, variable value: unspecified"
i need assistance deleting a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I want information about the termination of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
cancelin Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know what to do to delete the freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
where can I get information about Titanium account deletions?,"intent: delete_account, variable name: account_type, variable value: Titanium"
I need assistance to remove my standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i dont know what i need to do to cancel my standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do I need to do to remove my Titanium account?,"intent: delete_account, variable name: account_type, variable value: Titanium"
can I close a platinum account?,"intent: delete_account, variable name: account type, variable value: platinum account"
deleting Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
delete Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
how can I delete the standard account?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i no longer use the pro account I'm trying to delete it,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I  do not know how I could cancel the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I do not need the Premium account, I have got to delete it","intent: delete_account, variable name: account category, variable value: Premium"
I do not know what to do to delete a standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
cancel premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
can you help me to remove my standard account?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i dont know what i need to do to delete the standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
where can I find information about my gold account deletion?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I need assistance to delete my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
cancel freemium acount,"intent: delete_account, variable name: unspecified, variable value: unspecified"
deleting gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I have problems with the termination of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I have problems with Titanium account removal,"intent: delete_account, variable name: account_type, variable value: Titanium"
how can I get information about freemium account deletions?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do I have to do to delete a Titanium account?,"intent: delete_account, variable name: account_type, variable value: Titanium"
closing platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
"I have to close a Premium account, will you help me?","intent: delete_account, variable name: account category, variable value: Premium"
I have a question about the termination of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I need help to close my premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
remove pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
what do I need to do to delete the freemium account?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I never make use of my Titanium account, assistance deleting it","intent: delete_account, variable name: account_type, variable value: Titanium"
"I do not need the Premium account, can I close it?","intent: delete_account, variable name: account category, variable value: Premium"
could you help me to delete a Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
I don't know how to delete my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
what do I have to do to cancel my Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
I do not know how to close my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I do not know what I need to do to remove a pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i have problems with the termination fo a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
canceling Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
question about the deletion of a fucking Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
cancelling Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i have problems with the deletion of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i do not nkow how to delete the standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i want assistance to close my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i dont know how i can remove the  damn standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know how I can remove the standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know what to do to close my gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not know what i have to do to delete the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
what do i have to do to remove my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know what I need to do to close the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
problem with Titanium account cancellations,"intent: delete_account, variable name: account_type, variable value: Titanium"
closing Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
assistance deleting the secondary account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
can you give me information about a pro account termination?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
question about the deletion of my freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
have a problem with the deletion of my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
deleting platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
can ya help me to close my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i have problems with the deletion of my premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
deleting platinum accoumt,"intent: delete_account, variable name: unspecified, variable value: unspecified"
how can i get information about my premium account deletion,"intent: delete_account, variable name: unspecified, variable value: unspecified"
removing gold account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know what to do to delete a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
cancel platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
"I no longer use my standard account, could I close it?","intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know how I can delete the freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
remove Premium accoint,"intent: delete_account, variable name: account category, variable value: Premium"
I don't know what I have to do to remove the Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I have problems with the cancellation of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
removing Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
"I have to close my standard account, how do I do it?","intent: delete_account, variable name: unspecified, variable value: unspecified"
I want information about standard account deletions,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I have a problem with the removal of my standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I don't use the Titanium account, need help cancelling it","intent: delete_account, variable name: account_type, variable value: Titanium"
cancel Titanium acount,"intent: delete_account, variable name: account_type, variable value: Titanium"
assistance to delete my pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
want assistnace to cancel my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
i no longer make us of my pro account need help deleting it,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i dont know what i need to do to remove the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
give me information about the deletion of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I have problems with the deletion of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
deleting Titanium accoumt,"intent: delete_account, variable name: account_type, variable value: Titanium"
I want assistyance deleting my standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I don't know what I need to do to close the damn Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i dont know what to do to remove my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
want assistance cancelling a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
question about my Titanium account removal,"intent: delete_account, variable name: account_type, variable value: Titanium"
would it be possible to cancel a Premium account?,"intent: delete_account, variable name: account category, variable value: Premium"
I have a question about my Premium account deletion,"intent: delete_account, variable name: account category, variable value: Premium"
how can I get infomation about my Titanium account cancellation?,"intent: delete_account, variable name: account_type, variable value: Titanium"
I want help canceling the standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
cancel Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
delete pro account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
could you help me to remove the damn standard account?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
"I have got to cancel the bloody Premium account, help me","intent: delete_account, variable name: account category, variable value: Premium"
want help closing the  standard account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know how I can cancel the pro acconut,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i dont know how i can remove my premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
how can I get information about Premium account removals?,"intent: delete_account, variable name: account category, variable value: Premium"
give me information about the cancellation of a Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i no longer want the premium account help to cancel it,"intent: delete_account, variable name: unspecified, variable value: unspecified"
need help deleting my Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I need assistance to cancel my freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
removing platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
I don't know what I have to do to cancel my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
how can I get infomation about my pro account cancellation?,"intent: delete_account, variable name: unspecified, variable value: unspecified"
clsoe freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know what to do to delete the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
deleting premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not knwo what i have to do to remove my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I don't know what I have to do to delete my platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
I need help closing a freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I try to close my premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
remove Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
question about the termination of my premium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
idont use my Premium account want assistance to remove it,"intent: delete_account, variable name: account category, variable value: Premium"
how can I cancel a platinum account?,"intent: delete_account, variable name: account type, variable value: platinum account"
probem with the termination of a platinum account,"intent: delete_account, variable name: account type, variable value: platinum account"
could uhelp me to close the goddamn Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i have a question about the removal of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
i do not use my Premium cacount i want help removing it,"intent: delete_account, variable name: account category, variable value: Premium"
i do not nkow how to delete the Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
I have a problem with the removal of a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
close freemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
i do not know what i need to do to close afreemium account,"intent: delete_account, variable name: unspecified, variable value: unspecified"
I do not know what I need to do to cancel my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
I need assistance cancelling my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
find information about the termination of my Titanium account,"intent: delete_account, variable name: account_type, variable value: Titanium"
find information about the cancellation of a Premium account,"intent: delete_account, variable name: account category, variable value: Premium"
